Categoria;Vencimento (Dia do Mês);Valor (R$);Status;Recorrência;Tipo de Gasto;Observação;Tipo Pagamento;Mês
Energia;7;200;Pendente;Mensal;Essencial;Dia fixo 7;Debitoautomatico;3
Inter Cell;7;30;Pendente;Mensal;Essencial;Dia fixo 7;Debitoautomatico;3
Combustivel;7;500;Pendente;Mensal;Essencial;Estimativa, dia 7;Pix;3
Onibus/Metro;7;150;Pendente;Mensal;Essencial;Estimativa, dia 7;Cartao;3
Academia;7;33;Pendente;Mensal;Não Essencial;Vencimento do Cartão (Dia 7);Cartao;3
Veroo Cafes;7;48;Pendente;Mensal;Não Essencial;Vencimento do Cartão (Dia 7);Cartao;3
YoutubePremium;7;27;Pendente;Mensal;Não Essencial;Vencimento do Cartão (Dia 7);Cartao;3
Clube Smiles;7;47;Pendente;Mensal;Não Essencial;Vencimento do Cartão (Dia 7);Cartao;3
Ingles;7;340;Pendente;Mensal;Não Essencial;Vencimento do Cartão (Dia 7);Cartao;3
Internet Mae;10;40;Pendente;Mensal;Essencial;Dia fixo 10;Pix;3
Internet Casa;21;33;Pendente;Mensal;Essencial;Dia fixo 21;Debitoautomatico;3
Condominio;25;880;Pendente;Mensal;Essencial;Dia fixo 25;Pix;3
Prestacao Carro;30;1800;Pendente;Mensal;Essencial;Dia fixo 30;Debitoautomatico;3
Convenio Mae;30;230;Pendente;Mensal;Essencial;Dia fixo 30;Pix;3
Mercado;30;1200;Pendente;Mensal;Essencial;Estimativa (fim do mês);Pix;3
Ovos;30;90;Pendente;Mensal;Essencial;Estimativa;Pix;3
Carne;30;200;Pendente;Mensal;Essencial;Estimativa;Pix;3
Corte Cabelo;30;40;Pendente;Mensal;Essencial;Dia fixo 30;Pix;3
Almoço Sabado;30;100;Pendente;Anual;Não Essencial;Estimativa;Pix;3
IPTU;30;150;Pendente;Anual;Essencial;Vencimento em Janeiro;Pix;3
