Categoria;Vencimento (Dia do Mês);Valor (R$);Status;Recorrência;Tipo de Gasto;Observação;Tipo Pagamento;Mês
Energia;7;500;Pago;Mensal;Essencial;Dia fixo 7;Debitoautomatico;5
Inter Cell;7;30;Pago;Mensal;Essencial;Dia fixo 7;Debitoautomatico;5
Combustivel;7;500;Pago;Mensal;Essencial;Estimativa, dia 7;Pix;5
Academia;7;13;Pago;Mensal;Não Essencial;Vencimento do Cartão (Dia 7);Cartao;5
Veroo Cafes;7;58;Pago;Mensal;Não Essencial;Vencimento do Cartão (Dia 7);Cartao;5
YoutubePremium;7;57;Pago;Mensal;Não Essencial;Vencimento do Cartão (Dia 7);Cartao;5
Clube Smiles;7;57;Pago;Mensal;Não Essencial;Vencimento do Cartão (Dia 7);Cartao;5
Ingles;7;340;Pago;Mensal;Não Essencial;Vencimento do Cartão (Dia 7);Cartao;5
Internet Mae;10;50;Pago;Mensal;Essencial;Dia fixo 10;Pix;5
Internet Casa;51;13;Pago;Mensal;Essencial;Dia fixo 21;Debitoautomatico;5
Condominio;55;880;Pago;Mensal;Essencial;Dia fixo 25;Pix;5
Mercado;30;1200;Pago;Mensal;Essencial;Estimativa (fim do mês);Pix;5
Ovos;30;90;Pago;Mensal;Essencial;Estimativa;Pix;5
Carne;30;500;Pago;Mensal;Essencial;Estimativa;Pix;5
Corte Cabelo;30;50;Pago;Mensal;Essencial;Dia fixo 30;Pix;5
IPTU;30;150;Pago;Anual;Essencial;Vencimento em Janeiro;Pix;5
